service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SU15-Wd,1,1,1,1,1,0,0,20150619,20150907
SU15-We,0,0,0,0,0,1,1,20150619,20150907
SU15-Sa,0,0,0,0,0,1,0,20150619,20150907
SU15-Su,0,0,0,0,0,0,1,20150619,20150907
FA15-Wd,1,1,1,1,1,0,0,20150908,20151012
FA15-We,0,0,0,0,0,1,1,20150908,20151012
SP16-Wd,1,1,1,1,1,0,0,20160507,20160616
SP16-We,0,0,0,0,0,1,1,20160507,20160616
SU16-Wd,1,1,1,1,1,0,0,20160617,20160904
SU16-We,0,0,0,0,0,1,1,20160617,20160904
SU16-Sa,0,0,0,0,0,1,0,20160617,20160904
SU16-Su,0,0,0,0,0,0,1,20160617,20160904
FA16-Wd,1,1,1,1,1,0,0,20160905,20161010
FA16-We,0,0,0,0,0,1,1,20160905,20161010
