trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
NPS_BOHA_SU15-Wd__R1__1000_IS,10:00:00,10:00:00,NPS_BOHA__LOWH,10,0,1,1
NPS_BOHA_SU15-Wd__R1__1000_IS,10:45:00,10:45:00,NPS_BOHA__GEIS,20,1,0,0
NPS_BOHA_SU15-Wd__R1__1100_ML,11:00:00,11:00:00,NPS_BOHA__GEIS,20,0,1,1
NPS_BOHA_SU15-Wd__R1__1100_ML,11:45:00,11:45:00,NPS_BOHA__LOWH,30,1,0,0
NPS_BOHA_SU15-Wd__R1__1200_IS,12:00:00,12:00:00,NPS_BOHA__LOWH,10,0,1,1
NPS_BOHA_SU15-Wd__R1__1200_IS,12:45:00,12:45:00,NPS_BOHA__GEIS,20,1,0,0
NPS_BOHA_SU15-Wd__R1__1300_ML,13:00:00,13:00:00,NPS_BOHA__GEIS,20,0,1,1
NPS_BOHA_SU15-Wd__R1__1300_ML,13:45:00,13:45:00,NPS_BOHA__LOWH,30,1,0,0
NPS_BOHA_SU15-Wd__R1__1400_IS,14:00:00,14:00:00,NPS_BOHA__LOWH,10,0,1,1
NPS_BOHA_SU15-Wd__R1__1400_IS,14:45:00,14:45:00,NPS_BOHA__GEIS,20,1,0,0
NPS_BOHA_SU15-Wd__R1__1500_ML,15:00:00,15:00:00,NPS_BOHA__GEIS,20,0,1,1
NPS_BOHA_SU15-Wd__R1__1500_ML,15:45:00,15:45:00,NPS_BOHA__LOWH,30,1,0,0
NPS_BOHA_SU15-Wd__R1__1700_ML,17:00:00,17:00:00,NPS_BOHA__GEIS,20,0,1,1
NPS_BOHA_SU15-Wd__R1__1700_ML,17:45:00,17:45:00,NPS_BOHA__LOWH,30,1,0,0
NPS_BOHA_SU15-Wd__R2__0930_IS,9:30:00,9:30:00,NPS_BOHA__LOWH,10,0,1,1
NPS_BOHA_SU15-Wd__R2__0930_IS,10:00:00,10:00:00,NPS_BOHA__SPIS,20,1,0,0
NPS_BOHA_SU15-Wd__R2__1030_ML,10:30:00,10:30:00,NPS_BOHA__SPIS,20,0,1,1
NPS_BOHA_SU15-Wd__R2__1030_ML,11:00:00,11:00:00,NPS_BOHA__LOWH,30,1,0,0
NPS_BOHA_SU15-Wd__R2__1130_IS,11:30:00,11:30:00,NPS_BOHA__LOWH,10,0,1,1
NPS_BOHA_SU15-Wd__R2__1130_IS,12:00:00,12:00:00,NPS_BOHA__SPIS,20,1,0,0
NPS_BOHA_SU15-Wd__R2__1230_ML,12:30:00,12:30:00,NPS_BOHA__SPIS,20,0,1,1
NPS_BOHA_SU15-Wd__R2__1230_ML,13:00:00,13:00:00,NPS_BOHA__LOWH,30,1,0,0
NPS_BOHA_SU15-Wd__R2__1330_IS,13:30:00,13:30:00,NPS_BOHA__LOWH,10,0,1,1
NPS_BOHA_SU15-Wd__R2__1330_IS,14:00:00,14:00:00,NPS_BOHA__SPIS,20,1,0,0
NPS_BOHA_SU15-Wd__R2__1430_ML,14:30:00,14:30:00,NPS_BOHA__SPIS,20,0,1,1
